ID,Timestamp,Gender,Semester,Student_Dept,Complaint_Description,Category,Responsible_Departments,Primary_Department,Aspects,Severity,Complaint_Group_ID
1,2026-02-09 12:18:58.314,Male,4.1,IPE,"On most parts of the 8th/9th floor, WiFi is not available at all.",Technical,IT,IT,WiFi | Lab Equipment,Urgent,0
4,2026-02-09 12:28:16.321,Female,4.1,CSE,need a seperate female prayer room which is not just a sub portion of female common room,Infrastructure,Student Welfare | Administration | Maintenance,Student Welfare,Classroom | Prayer Room,Medium,3
5,2026-02-09 12:29:14.893,Male,4.1,CSE,drinking water system on the 6th floor(CSE dpt) is no longer working.,Infrastructure,Maintenance,Maintenance,Water Supply,Urgent,4
6,2026-02-09 12:29:14.893,Male,4.1,CSE,Some projectors are not clear,Infrastructure,IT | Maintenance,IT,Projector,High,5
8,2026-02-09 12:34:20.678,Male,2.1,CSE,Campus WiFi does not work in all areas and is also very slow.,Technical,IT,IT,WiFi,Urgent,7
9,2026-02-09 12:36:56.431,Female,4.1,CSE,"Due to continuous loud talking by some students in the library, it has become very difficult to study and maintain concentration",Administrative,Library | Proctorial,Library,Library | Safety/Discipline,Medium,8
10,2026-02-09 12:34:20.678,Male,2.1,CSE,We can never find our adviser,Academic,Department Head,Department Head,Faculty,High,9
11,2026-02-09 12:54:14.743,Male,4.1,CSE,No hand wash in most of the washrooms,Infrastructure,Maintenance,Maintenance,Washroom | Classroom,Urgent,10
12,2026-02-09 12:42:12.499,Female,4.1,CSE,"Because of the long line for the lift, it becomes difficult to attend classes on time",Infrastructure,Maintenance | Administration,Maintenance,Elevator,Medium,11
13,2026-02-09 12:42:29.396,Female,2.1,CSE,I have complain regarding the routing system of the bus.... Students go through a lot of problems to track location of the bus during arrival and departure . We know we have a msngr group where sometimes update is given but sometimes there is no update so it's a hassle... I would be better if and app system is give to know about the location of the bus upon arrival and departure. As during departure the bus doesn't always remain in same place as a result students get confused,Technical,Transport & Parking | IT,Transport & Parking,Electrical/AC | Examination | Transport,Medium,12
15,2026-02-09 12:54:14.743,Male,4.1,CSE,zero Wifi facilities in peak hour,Technical,IT,IT,WiFi | Electrical/AC | Research,Urgent,14
16,2026-02-09 12:54:14.743,Male,4.1,CSE,Inadequate Charging ports in library /reading room,Infrastructure,Library | IT,Library,Classroom | Library,Medium,15
19,2026-02-09 13:12:11.395,Male,4.2,CSE,The classroom projectors doesnt work well,Technical,IT,IT,Projector | Classroom,Urgent,18
20,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
21,2026-02-09 13:12:11.395,Male,4.2,CSE,We need more research facilities in our university and also we need more experienced professors,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
23,2026-02-09 13:12:11.395,Male,4.2,CSE,CSE Dept doesnt have qualified teachers,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty,High,19
24,2026-02-09 13:12:11.395,Male,4.2,CSE,We need more research facilities in our university and also we need more experienced professors,Academic,Department Head | Administration,Department Head,Electrical/AC | Faculty | Research,High,20
25,2026-02-09 13:20:41.427,Female,2.1,CSE,Campus Wi-Fi speed and coverage are insufficient; the signal does not reach inside classrooms.,Technical,IT,IT,WiFi | Electrical/AC | Classroom,Urgent,21
27,2026-02-09 13:20:41.427,Female,2.1,CSE,"Projectors have poor resolution and do not display colors properly, which causes issues in several lectures.",Technical,IT,IT,Projector,High,23
